"gene","GSM3186768","GSM3186769","GSM3186770","GSM3186771","GSM3186772","GSM3186773","GSM3186774","GSM3186775","GSM3186776","GSM3186777","GSM3186778","GSM3186779","GSM3186780","GSM3186781","GSM3186782","GSM3186783","GSM3186784","GSM3186785","GSM3186786","GSM3186787","GSM3186788"
"SEC39",112.749400395449,120.11355862089,87.2665843265779,163.101460698141,149.454866846133,118.49349887392,109.529657031753,114.079905627002,136.893834803261,128.205934976164,115.516324015024,115.920807573464,109.482040572038,125.814373396899,133.856814563685,145.154061451245,115.499388551253,173.110973885406,116.043900733631,123.065840574747,107.121942000767
"SMC6",64.5658959529493,70.712014349395,70.6443777881821,69.9006260134888,53.7513117604515,52.9735642024582,82.3984575835208,74.9969749955293,86.077184005081,85.7848535502276,84.4980518258046,89.0106201010528,92.6386497148015,81.4699631012704,64.2512709905688,79.7451325256839,90.9091961500184,69.9810319962281,78.4080410362369,82.6427542545747,74.7832425288374
"RPN2",1458.03284443004,1183.69974705426,1326.65985934571,1600.8613957599,1368.69193848564,1321.55102273501,2405.63301774328,1799.9273998927,2258.74827425381,1760.94622452555,1610.81096265394,1629.10134929136,1574.85704515163,1500.49109256137,1498.12546859676,1313.55465486127,1169.15187507688,1218.40659917644,1334.50485843675,1562.12771357288,1478.82177793512
"HOS3",193.697687858848,179.201680200521,206.738693821298,183.660468349167,174.364011320489,122.675622363587,196.952410809391,128.868041541614,187.710485601442,153.658583831726,154.021765353365,133.515930151579,243.026068082986,191.815356162485,233.446284599066,296.580211977544,235.469721175457,271.821061122191,161.520564534648,217.386375321816,198.074534265569
"POP3",26.9827624877997,53.2761751947496,29.0888614421926,31.5238117315734,45.8852661369708,37.6391114070098,31.1506364035262,54.9273619685567,39.4088312312419,34.8795558391035,50.2709928583901,40.365281208617,33.6867817144733,51.5632677856142,40.6924716273602,30.4644326502613,44.7094407295172,26.5191279143601,41.5562617492055,31.440178249023,32.3386994719297
"TAF3",109.858390128899,116.238927697636,120.510997403369,111.018641315541,94.3925474817685,112.917334221029,105.51022007646,106.685837669697,109.929897645043,99.9252140255398,109.098750458634,116.955814783941,119.106835347602,144.37714979972,134.927669080194,124.545768776068,121.460647315189,109.759723867768,135.64591099269,130.252167031667,116.55406268008
"YLL016W",175.387956170698,128.831478198213,152.716522571511,135.689450496772,93.081539877855,118.49349887392,228.103047212917,185.907994355115,190.821709119698,191.366211765892,141.186618240585,162.496132044945,170.840107266257,182.533967961074,173.478431674536,224.899193976929,210.134371428731,209.206453546619,139.566313044502,179.658161422988,144.850424718018
"RPS27B",2267.51571906403,2427.45627341896,2465.28100722582,2439.66890792177,2522.37862992948,3016.70507721367,1750.46479403041,3383.3142381786,2427.79141874572,1473.42556152754,2492.15773106487,1864.04798606972,2253.40507682887,3254.67346262797,2762.80465259446,2329.63308501998,2518.6318277628,2573.82869257706,1370.57255731342,1603.44909070017,1318.4757263868
"PAC11",39.5104736428496,30.9970473860361,31.1666372594921,34.2650127517102,44.5742585330573,32.0629467541194,41.1992287917604,33.8014535191118,45.6312782677538,44.306462822645,28.879081003756,40.365281208617,42.1084771430916,31.9692260270808,43.9050351768887,47.4886744254073,40.9836540020575,32.4122674508846,32.9313772352195,35.9316322845977,39.0759285285817
"DPS1",1440.68678283074,1388.08652825593,1428.47087439339,1455.57774169265,1519.45781293569,1391.25308089614,1397.75920120338,1713.31117524998,1425.97744586731,1484.73784990778,1880.34905202233,1584.59603924083,1529.1392699677,1733.55706295235,1649.1159554246,1443.47649998738,1544.71117720482,1521.90328530745,1445.84427670821,1221.67549767632,1430.98745163289
